Date,Name,PreOrg,cowgirl,doggy,kinky,missionary,reversecowgirl,standing,HerRanking,MyRanking,OurRanking
2009-09-16 00:00:00,J1,1,False,False,False,True,False,False,10,8,9
2009-09-16 08:00:00,J1,0,True,False,False,False,False,True,0,1,0.5
2009-09-16 16:00:00,J1,0,False,True,False,False,False,False,0,0,0
2009-09-17 00:00:00,J1,3,False,False,False,True,False,False,10,10,10
2009-09-17 12:00:00,J1,1,False,True,False,True,False,False,10,2,6
2009-09-18 00:00:00,J1,0,False,True,False,True,False,False,5,0,2.5
2009-09-20 00:00:00,J1,0,False,False,False,False,False,False,1,0,0.5
2009-09-20 08:00:00,J1,1,False,True,False,False,False,False,6,1,3.5
2009-09-20 16:00:00,J1,0,False,False,False,True,True,False,1,9,5
2009-09-24 00:00:00,J1,1,False,False,False,True,False,False,10,8,9
2009-09-25 00:00:00,J1,0,False,False,False,False,False,False,0,1,0.5
2009-09-26 00:00:00,J1,1,False,False,False,True,False,False,10,7,8.5
2009-09-28 00:00:00,J1,2,False,False,False,True,False,False,10,10,10
2009-09-29 00:00:00,J1,1,False,False,False,False,False,False,9,6,7.5
2009-09-29 08:00:00,J1,1,False,True,False,True,False,False,10,2,6
2009-09-29 16:00:00,J1,1,True,False,False,False,False,False,1,10,5.5
2009-09-30 00:00:00,J1,1,False,False,False,False,False,False,7,6,6.5
2009-10-01 00:00:00,J1,1,False,True,False,True,False,False,10,4,7
2009-10-02 00:00:00,J1,1,False,False,False,True,False,False,10,8,9
2009-10-02 08:00:00,J1,0,False,False,False,False,False,False,0,2,1
2009-10-02 16:00:00,J1,0,False,False,False,False,False,False,1,1,1
2009-10-03 00:00:00,J1,1,False,True,False,True,False,False,10,2,6
2009-10-03 08:00:00,J1,1,False,True,False,True,False,False,10,3,6.5
2009-10-03 16:00:00,J1,1,False,True,False,False,False,False,9,2,5.5
2009-10-04 00:00:00,J1,0,False,False,False,False,False,False,0,1,0.5
2009-10-05 00:00:00,J1,1,False,True,False,True,False,True,10,0,5
